ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
10844,ESCUELA SAN JOSE OBRERO DE CURACAVI,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,55.63937759399414,47.80951690673828,85.19999694824219,76.5,92.59259033203125,97.00985717773438,66.10425567626953
10845,LICEO PRESIDENTE BALMACEDA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,45.75485610961914,49.918243408203125,0.0,0.0,100.0,95.52092742919922,53.9210090637207
10846,ESCUELA FERNANDO CARVAJAL PINTO,2,Rural,3,Básica rural,22,Básica rural grupo 2,59.30744171142578,41.2033576965332,88.44999694824219,64.08333587646484,92.59259033203125,97.07129669189453,65.19939422607422
10848,ESCUELA ELIECER PEREZ VARGAS,2,Rural,3,Básica rural,22,Básica rural grupo 2,60.44709396362305,46.66686248779297,95.37999725341797,93.66666412353516,74.0740737915039,97.1710205078125,68.6973876953125
10849,ESCUELA HERIBERTO ERLWEIN  S.,2,Rural,3,Básica rural,23,Básica rural grupo 3,60.60170364379883,49.16115188598633,66.83333587646484,49.79999923706055,92.59259033203125,95.52092742919922,65.55420684814453
10851,ESCUELA PARTICULAR INSTITUTO SN.LUIS,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,67.1275405883789,49.23876190185547,82.80000305175781,60.91666793823242,92.59259033203125,95.52092742919922,69.50433349609375
10852,ESCUELA BASICA N°403 NUESTRA SRA. DE LA GUARDIA,2,Rural,3,Básica rural,21,Básica rural grupo 1,71.42048645019531,42.83244323730469,0.0,0.0,100.0,95.52092742919922,61.43326950073242
10854,LICEO MUNICIPAL DE SAN PEDRO,2,Rural,4,Media rural (con o sin básica),41,Media rural (con o sin básica) grupo 1,58.947731018066406,56.14883804321289,96.02999877929688,72.16666412353516,74.0740737915039,97.0716323852539,69.73970794677734
10856,ESCUELA BASICA G-N°126,2,Rural,3,Básica rural,22,Básica rural grupo 2,68.9093246459961,53.80714797973633,98.66666412353516,100.0,81.48148345947266,97.16445922851562,74.48826599121094
10858,ESCUELA BASICA G-N°128 ATALICIO AGUILAR A.,2,Rural,3,Básica rural,22,Básica rural grupo 2,56.11704635620117,40.711212158203125,96.36666870117188,88.4000015258789,81.48148345947266,97.11637115478516,65.35968017578125
10861,ESCUELA BASICA G-N°130,2,Rural,3,Básica rural,22,Básica rural grupo 2,84.63777160644531,59.40331268310547,91.55555725097656,87.19999694824219,80.86419677734375,97.03650665283203,80.7675552368164
